ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
UNIT F2,150 BRAND STREET,GLASGOW,G51 1DH,Office/Workshop,Offices and Workshop businesses,35,72,E,71.81,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"4,200.00",4.2,0
UNIT F4,150 BRAND STREET,GLASGOW,G51 1DH,Office/Workshop,Offices and Workshop businesses,91,60,D,59.99,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"9,100.00",9.1,0.01
Room F23A Festival Business Park,150 Brand Street,Glasgow,G51 1DH,Office/Workshop,Offices and Workshop businesses,12,58,D,58.03,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"1,200.00",1.2,0
Festival Court 1,200 Brand Street,Glasgow,G51 1DH,Office/Workshop,Offices and Workshop businesses,1350,21,B+,20.77,Heat pumps,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"74,250.00",74.25,0.07
Festival Court,198 Brand Street,Glasgow,G51 1DH,Office/Workshop,Offices and Workshop businesses,1348,50,D+,49.9,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"134,800.00",134.8,0.13
UNIT F25,150 BRAND STREET,GLASGOW,G51 1DH,Office/Workshop,Offices and Workshop businesses,12,71,E,71.15,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"1,440.00",1.44,0
Festival Court 3,198 Brand Street,Glasgow,G51 1DH,Office/Workshop,Offices and Workshop businesses,1350,14,A,13.52,Heat pumps,Grid supplied,Grid Supplied Electricity,Mixed-mode with Mechanical Ventilation,,"40,500.00",40.5,0.04
Festival Court,199 Brand Street,Glasgow,G51 1DH,Office/Workshop,Offices and Workshop businesses,1348,46,D+,46.46,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"134,800.00",134.8,0.13
Festival Court,200 Brand Street,Glasgow,G51 1DH,Office/Workshop,Offices and Workshop businesses,1348,46,D+,46.25,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"134,800.00",134.8,0.13
UNIT G3,150 BRAND STREET,GLASGOW,G51 1DH,Office/Workshop,Offices and Workshop businesses,143,80,E,80.22,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"17,160.00",17.16,0.02
