ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Modular Classroom St Constantines Primary School,45 Drumoyne Road,Glasgow,G51 4AX,Education,D1 Non-residential Institutions - Education,142,25,B,24.66,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"7,810.00",7.81,0.01
UNIT 3,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,83,169,G,169.39,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"9,960.00",9.96,0.01
UNIT 2,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,Retail/Financial,Retail/Financial and Professional services,259,66,E+,65.83,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"31,080.00",31.08,0.03
UNIT 5,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,Retail/Financial,Retail/Financial and Professional services,312,64,E+,63.86,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"37,440.00",37.44,0.04
UNIT 1,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,103,130,G,130.25,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"12,360.00",12.36,0.01
UNIT 4,250 DRUMOYNE ROAD,GLASGOW,G51 4BH,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,193,97,F,96.9,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"23,160.00",23.16,0.02
Govan Health Centre Dental Practice,Drumoyne Road,Glasgow,G51 4BJ,Primary Healthcare Building,Non-residential Institutions: Primary Health Care Building,209,129,G,128.66,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"31,350.00",31.35,0.03
Govan HC and Elderpark Clinic,5 Drumoyne Road,Glasgow,G51 4BJ,Primary Healthcare Building,Non-residential Institutions: Primary Health Care Building,3225,33,C+,33.35,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"306,375.00",306.38,0.31
Unit 120b Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BN,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,104,18,B+,18.43,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"5,720.00",5.72,0.01
Unit 113 Intu Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BN,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,29,19,B+,19.35,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"1,595.00",1.6,0
Unit 20 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,275,33,C+,33.25,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"23,375.00",23.38,0.02
Unit 152 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,205,28,B,27.68,Heat pumps,Grid supplied,Grid Supplied Electricity,Mixed-mode with Mechanical Ventilation,,"11,275.00",11.28,0.01
Unit 140B Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,78,19,B+,18.64,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"4,290.00",4.29,0
Unit 115 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,40,18,B+,17.63,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"2,200.00",2.2,0
Unit 68 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,1997,15,A,15.28,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"59,910.00",59.91,0.06
Unit 49 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,11549,19,B+,18.98,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"635,195.00",635.2,0.64
Unit 172 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,102,18,B+,18.42,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"5,610.00",5.61,0.01
Unit 104 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,192,28,B,28.45,None,Grid supplied,Grid Supplied Electricity,Mixed-mode with Mechanical Ventilation,,"10,560.00",10.56,0.01
Unit 6 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,190,28,B,27.86,Heat pumps,Grid supplied,Grid Supplied Electricity,Mixed-mode with Mechanical Ventilation,,"10,450.00",10.45,0.01
Unit 54 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,112,18,B+,18.37,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"6,160.00",6.16,0.01
Units 158-159 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,73,19,B+,18.67,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"4,015.00",4.02,0
Unit 163 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,238,18,B+,17.97,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"13,090.00",13.09,0.01
Unit 147 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,178,40,C,39.82,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"21,360.00",21.36,0.02
Unit 105 Intu Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BN,Retail/Financial,A1/A2 Retail and Financial/Professional services,211,66,E+,65.66,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"25,320.00",25.32,0.03
Unit 10,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,251,13,A,12.65,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"7,530.00",7.53,0.01
Unit 112 Braehead Shopping Centre,,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,43,361,G,360.51,None,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"5,160.00",5.16,0.01
Unit 114,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,69,18,B+,17.65,None,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"3,795.00",3.8,0
Unit 146,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,854,11,A,11.07,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"25,620.00",25.62,0.03
Unit 161,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,363,16,B+,16.23,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"19,965.00",19.97,0.02
Unit 34 Intu Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BN,Retail/Financial,A1/A2 Retail and Financial/Professional services,40,62,E+,62.49,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"4,800.00",4.8,0
